SampleID	Env	SourceSink	id
G1CA	Air1	sink	1
G1CB	Air2	sink	2
G1CC	Air3	sink	3
G1IA	Air4	sink	4
G1IB	Air5	sink	5
G1IC	Air6	sink	6
G1P1A	Air7	sink	7
G1P1B	Air8	sink	8
G1P1C	Air9	sink	9
G1P2A	Air10	sink	10
G1P2B	Air11	sink	11
G1P2C	Air12	sink	12
G1SA	Air13	sink	13
G1SC	Air14	sink	14
G1STA	Air15	sink	15
G1STC	Air16	sink	16
G2CA	Air17	sink	17
G2CB	Air18	sink	18
G2CC	Air19	sink	19
G2IA	Air20	sink	20
G2IB	Air21	sink	21
G2IC	Air22	sink	22
G2P1A	Air23	sink	23
G2P1B	Air24	sink	24
G2P1C	Air25	sink	25
G2P2A	Air26	sink	26
G2P2B	Air27	sink	27
G2P2C	Air28	sink	28
G2SA	Air29	sink	29
G2SC	Air30	sink	30
G2STA	Air31	sink	31
G2STB	Air32	sink	32
G2STC	Air33	sink	33
SA01	Oral	source	NA
SA03	Oral	source	NA
SA04	Oral	source	NA
SA05	Oral	source	NA
SA06	Oral	source	NA
SA07	Oral	source	NA
SA09	Oral	source	NA
SA11	Oral	source	NA
SA12	Oral	source	NA
SA13	Oral	source	NA
SA14	Oral	source	NA
SA15	Oral	source	NA
SA16	Oral	source	NA
SA17	Oral	source	NA
SA18	Oral	source	NA
SA19	Oral	source	NA
SB01	Oral	source	NA
SB02	Oral	source	NA
SB03	Oral	source	NA
SB04	Oral	source	NA
SB05	Oral	source	NA
SB06	Oral	source	NA
SB07	Oral	source	NA
SB08	Oral	source	NA
SB09	Oral	source	NA
SB10	Oral	source	NA
SB11	Oral	source	NA
SB12	Oral	source	NA
SB13	Oral	source	NA
SB15	Oral	source	NA
SB16	Oral	source	NA
SB17	Oral	source	NA
SB18	Oral	source	NA
SB19	Oral	source	NA
SC01	Oral	source	NA
SC02	Oral	source	NA
SC03	Oral	source	NA
SC04	Oral	source	NA
SC05	Oral	source	NA
SC06	Oral	source	NA
SC07	Oral	source	NA
SC08	Oral	source	NA
SC09	Oral	source	NA
SC10	Oral	source	NA
SC11	Oral	source	NA
SC12	Oral	source	NA
SC13	Oral	source	NA
SC14	Oral	source	NA
SC15	Oral	source	NA
SC17	Oral	source	NA
SC18	Oral	source	NA
SC19	Oral	source	NA
SD01	Oral	source	NA
SD02	Oral	source	NA
SD03	Oral	source	NA
SD04	Oral	source	NA
SD05	Oral	source	NA
SD06	Oral	source	NA
SD07	Oral	source	NA
SD08	Oral	source	NA
SD09	Oral	source	NA
SD10	Oral	source	NA
SD11	Oral	source	NA
SD12	Oral	source	NA
SD13	Oral	source	NA
SD14	Oral	source	NA
SD15	Oral	source	NA
SD17	Oral	source	NA
SD18	Oral	source	NA
SD19	Oral	source	NA
FR1	Plant	source	NA
FR2	Plant	source	NA
FR3	Plant	source	NA
FR4	Plant	source	NA
FR5	Plant	source	NA
FR6	Plant	source	NA
GR1	Plant	source	NA
GR2	Plant	source	NA
GR3	Plant	source	NA
GR4	Plant	source	NA
GR5	Plant	source	NA
GR6	Plant	source	NA
HR1	Plant	source	NA
HR2	Plant	source	NA
HR3	Plant	source	NA
HR4	Plant	source	NA
HR5	Plant	source	NA
HR6	Plant	source	NA
SR1	Plant	source	NA
SR02	Plant	source	NA
SR3	Plant	source	NA
SR4	Plant	source	NA
SR5	Plant	source	NA
SR6	Plant	source	NA
F11Fcsp	Gut	source	NA
F11Fcsw	Gut	source	NA
F12Fcsp	Gut	source	NA
F12Fcsw	Gut	source	NA
F13Fcsw	Gut	source	NA
F14Fcsw	Gut	source	NA
F21Fcsp	Gut	source	NA
F21Fcsw	Gut	source	NA
F22Fcsp	Gut	source	NA
F22Fcsw	Gut	source	NA
F23Fcsw	Gut	source	NA
F24Fcsw	Gut	source	NA
F31Fcsp	Gut	source	NA
F31Fcsw	Gut	source	NA
F32Fcsp	Gut	source	NA
F32Fcsw	Gut	source	NA
F33Fcsw	Gut	source	NA
F34Fcsw	Gut	source	NA
M11Fcsp	Gut	source	NA
M11Fcsw	Gut	source	NA
M12Fcsp	Gut	source	NA
M12Fcsw	Gut	source	NA
M13Fcsw	Gut	source	NA
M14Fcsw	Gut	source	NA
M21Fcsp	Gut	source	NA
M21Fcsw	Gut	source	NA
M22Fcsp	Gut	source	NA
M22Fcsw	Gut	source	NA
M23Fcsw	Gut	source	NA
M24Fcsw	Gut	source	NA
M31Fcsp	Gut	source	NA
M31Fcsw	Gut	source	NA
M32Fcsp	Gut	source	NA
M32Fcsw	Gut	source	NA
M33Fcsw	Gut	source	NA
M41Fcsp	Gut	source	NA
M41Fcsw	Gut	source	NA
M42Fcsp	Gut	source	NA
M42Fcsw	Gut	source	NA
M43Fcsw	Gut	source	NA
M44Fcsw	Gut	source	NA
M53Fcsw	Gut	source	NA
M54Fcsw	Gut	source	NA
M63Fcsw	Gut	source	NA
M64Fcsw	Gut	source	NA
F11Frhd	Skin	source	NA
F24Frhd	Skin	source	NA
F32Frhd	Skin	source	NA
M14Frhd	Skin	source	NA
M23Frhd	Skin	source	NA
M32Frhd	Skin	source	NA
M43Frhd	Skin	source	NA
M54Frhd	Skin	source	NA
M63Frhd	Skin	source	NA
F11Indl	Skin	source	NA
F21Indl	Skin	source	NA
F31Indl	Skin	source	NA
F32Indl	Skin	source	NA
M11Indl	Skin	source	NA
M12Indl	Skin	source	NA
M22Indl	Skin	source	NA
M31Indl	Skin	source	NA
M41Indl	Skin	source	NA
F13Plml	Skin	source	NA
F24Plml	Skin	source	NA
F31Plml	Skin	source	NA
M13Plml	Skin	source	NA
M23Plml	Skin	source	NA
M33Plml	Skin	source	NA
M43Plml	Skin	source	NA
M53Plml	Skin	source	NA
M63Plml	Skin	source	NA
F12Indr	Skin	source	NA
F21Indr	Skin	source	NA
F31Indr	Skin	source	NA
F32Indr	Skin	source	NA
M11Indr	Skin	source	NA
M21Indr	Skin	source	NA
M31Indr	Skin	source	NA
M41Indr	Skin	source	NA
M42Indr	Skin	source	NA
F11Plmr	Skin	source	NA
F23Plmr	Skin	source	NA
F32Plmr	Skin	source	NA
M11Plmr	Skin	source	NA
M23Plmr	Skin	source	NA
M33Plmr	Skin	source	NA
M43Plmr	Skin	source	NA
M53Plmr	Skin	source	NA
M64Plmr	Skin	source	NA
BF1	Soil	source	NA
CA2	Soil	source	NA
CO2	Soil	source	NA
DF3	Soil	source	NA
HI4	Soil	source	NA
HJ2	Soil	source	NA
JT1	Soil	source	NA
MD5	Soil	source	NA
SF1	Soil	source	NA
SV1	Soil	source	NA
SV2	Soil	source	NA
BP1	Soil	source	NA
SA1	Soil	source	NA
SA2	Soil	source	NA
SP2	Soil	source	NA
BZ1	Soil	source	NA
TL3	Soil	source	NA
CC1	Soil	source	NA
CF3	Soil	source	NA
HF2	Soil	source	NA
IE2	Soil	source	NA
LQ2	Soil	source	NA
MP2	Soil	source	NA
MT1	Soil	source	NA
PE1	Soil	source	NA
SB1	Soil	source	NA
CM1	Soil	source	NA
SN1	Soil	source	NA
SN3	Soil	source	NA
SP1	Soil	source	NA
CO3	Soil	source	NA
CR1	Soil	source	NA
GB5	Soil	source	NA
KP4	Soil	source	NA
RT1	Soil	source	NA
RT2	Soil	source	NA
SK1	Soil	source	NA
SK3	Soil	source	NA
SR2	Soil	source	NA
VC2	Soil	source	NA
AR1	Soil	source	NA
PE7	Soil	source	NA
BB2	Soil	source	NA
IT2	Soil	source	NA
CL3	Soil	source	NA
